Make;Model;Variant;Start Year;End Year;Doors;Drivetrain;Body Type;Engine Size;Aspiration;Fuel Type;Transmission Type
Ferrari;308;GTSi;1980;1982;2-door;RWD;TargaTop;2.9L;Naturally Aspirated;Petrol;5-Speed Manual
Ferrari;Mondial;8;1980;1982;2-door;RWD;2+2Coupe;2.9L;Naturally Aspirated;Petrol;5-Speed Manual
Ford;Cortina;Mk V 1.6 L;1980;1982;2-door/4-door/5-door;RWD;Sedan/Wagon;1.6L;Naturally Aspirated;Petrol;4-Speed Manual
Ford;Cortina;Mk V 2.3 Ghia;1980;1982;4-door;RWD;Sedan;2.3L;Naturally Aspirated;Petrol;3-Speed Automatic
Lamborghini;Countach;LP400 S;1980;1982;2-door;RWD;Coupe;4.8L;Naturally Aspirated;Petrol;5-Speed Manual
Lamborghini;Espada;Series III;1980;1982;2-door;RWD;2+2Coupe;3.9L;Naturally Aspirated;Petrol;5-Speed Manual
Opel;Commodore;C;1980;1982;2-door/4-door;RWD;Sedan;2.5L;Naturally Aspirated;Petrol;4-Speed Manual/3-Speed Automatic
Peugeot;305;S5;1980;1982;4-door;FWD;Sedan;1.5L;Naturally Aspirated;Petrol;5-Speed Manual
SEAT;Ritmo;;1980;1982;3-door/5-door;FWD;Hatchback;1.2L/1.4L/1.6L;Naturally Aspirated;Petrol;4/5-Speed Manual
Suzuki;LJ80;;1980;1982;2-door;4WD;SUV;800cc;Naturally Aspirated;Petrol;4-Speed Manual
Suzuki;SC100;;1980;1982;2-door;RWD;Coupe;970cc;Naturally Aspirated;Petrol;4-Speed Manual
Toyota;Celica Camry;A40 Sedan;1980;1982;4-door;RWD;Sedan;1.80L;Naturally Aspirated;Petrol;5-Speed Manual
Volvo;260;GLE;1980;1982;4-door/5-door;RWD;Sedan/Wagon;2.8L;Naturally Aspirated;Petrol;4-Speed Manual/3-Speed Automatic
Toyota;Corolla;E70 SR5 Liftback;1979;1983;3-door;RWD;Hatchback;1.60L;Naturally Aspirated;Petrol;5-Speed Manual
Chevrolet;Malibu;(Gen 4);1980;1983;2-door/4-door;RWD;Coupe/Sedan/Wagon;3.8L V6/4.4L V8/5.0L V8;Naturally Aspirated;Petrol/Diesel;3/4-Speed Automatic
Chrysler;Cordoba;;1980;1983;2-door;RWD;Coupe;3.7L Inline 6 Cyl/5.2L V8/5.9L V8;Naturally Aspirated;Petrol;3-Speed Automatic
Daihatsu;Charade;G10;1980;1983;3-door/5-door;FWD;Hatchback;1.0L;Naturally Aspirated;Petrol;4/5-Speed Manual/2-Speed Automatic
Datsun;280ZX;;1980;1983;2-door;RWD;Coupe;2.8L;Naturally Aspirated;Petrol;5-Speed Manual/3-Speed Automatic
Datsun;Bluebird;910;1980;1983;2-door/4-door/5-door;RWD;Sedan/Wagon/Hardtop;1.6L/1.8L/2.0L;Naturally Aspirated/Turbocharged;Petrol/Diesel;4/5-Speed Manual/3-Speed Automatic
Dodge;Challenger;(L-Body);1980;1983;2-door;RWD;Coupe;1.6L/2.6L;Naturally Aspirated;Petrol;5-Speed Manual/3-Speed Automatic
Dodge;Mirada;;1980;1983;2-door;RWD;Coupe;3.7L/5.2L/5.9L;Naturally Aspirated;Petrol;3-Speed Automatic
Fiat;127;;1980;1983;2-door/3-door;FWD;Sedan/Hatchback;903cc/1050cc;Naturally Aspirated;Petrol;4-Speed Manual
Honda;Civic;2nd Gen;1980;1983;3-door/4-door/5-door;FWD;Hatchback/Sedan/Wagon;1.3L/1.5L;Naturally Aspirated;Petrol;4/5-Speed Manual/2/3-Speed Hondamatic
Isuzu;Florian;;1980;1983;4-door;RWD;Sedan;1.8L/2.0L;Naturally Aspirated;Petrol/Diesel;4-Speed Manual/3-Speed Automatic
Jeep;CJ-5;Renegade;1980;1983;2-door;4WD;SUV;2.5L/4.2L/5.0L;Naturally Aspirated;Petrol;4/5-Speed Manual
Maserati;Kyalami;;1980;1983;2-door;RWD;Coupe;4.2L/4.9L;Naturally Aspirated;Petrol;5-Speed Manual/3-Speed Automatic
Maserati;Merak;SS;1980;1983;2-door;RWD;2+2Coupe;3.0L;Naturally Aspirated;Petrol;5-Speed Manual
Mitsubishi;Colt;C10;1980;1983;3-door/5-door;FWD;Hatchback;1.2L/1.4L;Naturally Aspirated;Petrol;4-Speed Manual
Mitsubishi;Mirage;C10;1980;1983;3-door/5-door;FWD;Hatchback;1.2L/1.4L;Naturally Aspirated;Petrol;4-Speed Manual
Peugeot;104;ZS;1980;1983;3-door;FWD;Hatchback;1.4L;Naturally Aspirated;Petrol;5-Speed Manual
Porsche;911;G-Model SC;1980;1983;2-door;RWD;Coupe/Targa;3.0L;Naturally Aspirated;Petrol;5-Speed Manual
Porsche;924;Turbo;1980;1983;2-door;RWD;Coupe;2.0L;Turbocharged;Petrol;5-Speed Manual
Volkswagen;Golf;Mk1 C/CL/GL;1980;1983;3-door/5-door;FWD;Hatchback;1.1L;Naturally Aspirated;Petrol;4-Speed Manual
Volkswagen;Golf;Mk1 C/CL/GL;1980;1983;3-door/5-door;FWD;Hatchback;1.3L;Naturally Aspirated;Petrol;4-Speed Manual
Volkswagen;Golf;Mk1 C/CL/GL Diesel;1980;1983;3-door/5-door;FWD;Hatchback;1.6L;Naturally Aspirated;Diesel;4/5-Speed Manual
Volkswagen;Golf;Mk1 GTI;1980;1983;3-door;FWD;Hatchback;1.6L;Naturally Aspirated;Petrol;4/5-Speed Manual
Datsun;280ZX;Turbo;1981;1983;2-door;RWD;Coupe;2.8L;Turbocharged;Petrol;3-Speed Automatic
Dodge;400;;1982;1983;2-door/4-door;FWD;Coupe/Sedan/Convertible;2.2L/2.6L;Naturally Aspirated;Petrol;3-Speed Automatic
Volkswagen;Golf;Mk1 GTD;1982;1983;3-door/5-door;FWD;Hatchback;1.6L;Turbocharged;Diesel;5-Speed Manual
Volkswagen;Golf;Mk1 GTI;1982;1983;3-door;FWD;Hatchback;1.8L;Naturally Aspirated;Petrol;5-Speed Manual
Nissan;Bluebird;910;1979;1984;2-door/4-door;RWD;Sedan/Hardtop/Wagon;1.6L/1.8L/2.0L;Naturally Aspirated/Turbocharged;Petrol/Diesel;4/5-Speed Manual/3-Speed Automatic
Alfa Romeo;Alfetta;2;1980;1984;4-door;RWD;Sedan;2.0L;Naturally Aspirated;Petrol;5-Speed Manual
Daihatsu;Taft;F10/F20/F50/F60;1980;1984;3-door;4WD;SUV;1.6L/2.5L/2.8L;Naturally Aspirated;Petrol/Diesel;4-Speed Manual
Datsun;Laurel;C31;1980;1984;2-door/4-door;RWD;Sedan/Hardtop;2.0L/2.4L/2.8L;Naturally Aspirated;Petrol/Diesel;4/5-Speed Manual/3/4-Speed Automatic
Fiat;131;Supermirafiori;1980;1984;2-door/4-door/5-door;RWD;Sedan/Wagon;1.6L/2.0L;Naturally Aspirated;Petrol;5-Speed Manual
Mitsubishi;Sapporo;;1980;1984;2-door;RWD;Coupe;2.0L/2.6L;Naturally Aspirated/Turbocharged;Petrol;5-Speed Manual/3-Speed Automatic
Renault;5;GTL;1980;1984;3-door/5-door;FWD;Hatchback;1.1L/1.3L;Naturally Aspirated;Petrol;4-Speed Manual/3-Speed Automatic
SEAT;131;Supermirafiori;1980;1984;4-door/5-door;RWD;Sedan/Wagon;1.4L/1.6L/1.8L/2.0L/2.5L;Naturally Aspirated;Petrol/Diesel;4/5-Speed Manual
Subaru;Leone;2nd Gen (AB/AF);1980;1984;2-door/3-door/4-door/5-door;FWD/4WD;Coupe/Hatchback/Sedan/Wagon;1.6L/1.8L;Naturally Aspirated/Turbocharged;Petrol;4/5-Speed Manual/3-Speed Automatic
Suzuki;Alto;SS40/SS80;1980;1984;3-door/5-door;FWD;Hatchback;543cc/800cc;Naturally Aspirated;Petrol;4/5-Speed Manual/2-Speed Automatic
Volkswagen;Jetta;Mk1 C/CL/GL;1980;1984;2-door/4-door;FWD;Sedan;1.3L;Naturally Aspirated;Petrol;4-Speed Manual
Volkswagen;Jetta;Mk1 C/CL/GL;1980;1984;2-door/4-door;FWD;Sedan;1.5L;Naturally Aspirated;Petrol;4-Speed Manual/3-Speed Automatic
Volkswagen;Jetta;Mk1 Diesel;1980;1984;2-door/4-door;FWD;Sedan;1.6L;Naturally Aspirated;Diesel;4/5-Speed Manual
Datsun;810;Maxima;1981;1984;4-door/5-door;RWD;Sedan/Wagon;2.4L/2.8L;Naturally Aspirated;Petrol/Diesel;5-Speed Manual/4-Speed Automatic
Ferrari;512 BBi;;1981;1984;2-door;RWD;Berlinetta;4.9L;Naturally Aspirated;Petrol;5-Speed Manual
Opel;Manta B;400;1981;1984;2-door;RWD;Coupe;2.4L;Naturally Aspirated;Petrol;5-Speed Manual
Toyota;Cressida;X60 Sedan;1981;1984;4-door;RWD;Sedan;2.80L;Naturally Aspirated;Petrol;4-Speed Automatic
Alfa Romeo;Alfetta;Quadrifoglio Oro;1982;1984;4-door;RWD;Sedan;2.0L;Naturally Aspirated;Petrol;5-Speed Manual
Audi;80;B2 quattro;1982;1984;4-door;Quattro;Sedan;2.1L;Naturally Aspirated;Petrol;5-Speed Manual
Dodge;Rampage;;1982;1984;2-door;FWD;CoupeUtility;2.2L;Naturally Aspirated;Petrol;4/5-Speed Manual/3-Speed Automatic
MG;Maestro;1600;1983;1984;5-door;FWD;Hatchback;1.6L;Naturally Aspirated;Petrol;4/5-Speed Manual
Opel;Kadett;D GTE;1983;1984;3-door;FWD;Hatchback;1.8L;Naturally Aspirated;Petrol;5-Speed Manual
Peugeot;205;T16;1984;1984;3-door;4WD;Hatchback;1.8L;Turbocharged;Petrol;5-Speed Manual
AC;3000ME;;1980;1985;2-door;RWD;Coupe;3.0L;Naturally Aspirated;Petrol;5-Speed Manual
Chevrolet;Citation;;1980;1985;2-door/4-door;FWD;Coupe/Sedan/Hatchback;2.5L Inline 4 Cyl/2.8L V6;Naturally Aspirated;Petrol;4-Speed Manual/3-Speed Auto
Daihatsu;Cuore;L70;1980;1985;3-door/5-door;FWD;Hatchback;550cc/600cc;Naturally Aspirated;Petrol;4/5-Speed Manual/2-Speed Automatic
Daihatsu;Mira;L55;1980;1985;3-door/5-door;FWD;KeiCar;550cc;Naturally Aspirated;Petrol;4/5-Speed Manual/2-Speed Automatic
Ferrari;400i;;1980;1985;2-door;RWD;2+2Coupe;4.8L;Naturally Aspirated;Petrol;5-Speed Manual/3-Speed Automatic
Land Rover;Series III;88-inch;1980;1985;2-door/3-door;4WD;SUV/Pickup/SoftTop;2.3L/3.5L;Naturally Aspirated;Petrol/Diesel;4-Speed Manual
Land Rover;Series III;109-inch;1980;1985;2-door/4-door/5-door;4WD;SUV/Pickup/Wagon;2.3L/2.6L/3.5L;Naturally Aspirated;Petrol/Diesel;4-Speed Manual
Mazda;323;BD 1.3;1980;1985;3-door/5-door;FWD;Hatchback;1.3L;Naturally Aspirated;Petrol;4/5-Speed Manual
Mazda;323;BD 1.5;1980;1985;3-door/4-door/5-door;FWD;Hatchback/Sedan;1.5L;Naturally Aspirated;Petrol;5-Speed Manual/3-Speed Automatic
Mazda;RX-7;FB;1980;1985;2-door;RWD;Coupe;1.1L/1.3L;Naturally Aspirated;Petrol (Rotary);5-Speed Manual/4-Speed Automatic
Mercedes-Benz;200-300 Series;W123;1980;1985;2-door/4-door;RWD;Sedan/Coupe/Wagon;2.0L/2.3L Inline 4 Cyl/2.5L/2.8L Inline 6 Cyl;Naturally Aspirated;Petrol/Diesel;4/5-Speed Manual/4-Speed Auto
Peugeot;604;STi;1980;1985;4-door;RWD;Sedan;2.8L;Naturally Aspirated;Petrol;5-Speed Manual/3-Speed Automatic
Renault;18;Turbo;1980;1985;4-door/5-door;FWD;Sedan/Wagon;1.6L;Turbocharged;Petrol;5-Speed Manual
Renault;Fuego;GTX;1980;1985;3-door;FWD;Coupe;2.0L;Naturally Aspirated;Petrol;5-Speed Manual
Datsun-Nissan;Skyline;R30;1981;1985;2-door/4-door/5-door;RWD;Coupe/Sedan/Hatchback;2.0L/2.8L;Naturally Aspirated/Turbocharged;Petrol/Diesel;4/5-Speed Manual/3/4-Speed Automatic
Fiat;Argenta;;1981;1985;4-door;RWD;Sedan;1.6L/2.0L/2.5L;Naturally Aspirated/Turbocharged;Petrol/Diesel;5-Speed Manual/3-Speed Automatic
Ford;Granada;Mk II 2.8i Ghia X;1981;1985;4-door;RWD;Sedan;2.8L;Naturally Aspirated;Petrol;5-Speed Manual/3-Speed Automatic
Honda;Accord;2nd Gen LX;1981;1985;3-door/4-door;FWD;Hatchback/Sedan;1.6L/1.8L;Naturally Aspirated;Petrol;5-Speed Manual/4-Speed Automatic
Nissan;Skyline;R30;1981;1985;2-door/4-door/5-door;RWD;Coupe/Sedan/Hatchback;1.8L/2.0L/2.8L;Naturally Aspirated/Turbocharged;Petrol/Diesel;4/5-Speed Manual/3/4-Speed Automatic
Nissan;Sunny;B11;1981;1985;2-door/3-door/4-door;FWD;Coupe/Sedan/Hatchback/Wagon;1.3L/1.5L/1.7L;Naturally Aspirated;Petrol/Diesel;4/5-Speed Manual/3-Speed Automatic
Volkswagen;Santana;LX/GX;1981;1985;4-door;FWD;Sedan;1.6L;Naturally Aspirated;Petrol;4/5-Speed Manual/3-Speed Automatic
Volkswagen;Santana;LX/GX;1981;1985;4-door;FWD;Sedan;1.8L;Naturally Aspirated;Petrol;5-Speed Manual/3-Speed Automatic
Bentley;Mulsanne;Turbo;1982;1985;4-door;RWD;Sedan;6.75L V8;Turbocharged;Petrol;3-Speed Automatic
Ferrari;208;GTB Turbo;1982;1985;2-door;RWD;Berlinetta;2.0L;Turbocharged;Petrol;5-Speed Manual
Ferrari;308;GTB Quattrovalvole;1982;1985;2-door;RWD;Berlinetta;2.9L;Naturally Aspirated;Petrol;5-Speed Manual
Ferrari;308;GTS Quattrovalvole;1982;1985;2-door;RWD;TargaTop;2.9L;Naturally Aspirated;Petrol;5-Speed Manual
Ferrari;Mondial;Quattrovalvole;1982;1985;2-door;RWD;2+2Coupe/Cabriolet;2.9L;Naturally Aspirated;Petrol;5-Speed Manual
Lamborghini;Countach;LP500 S;1982;1985;2-door;RWD;Coupe;4.8L;Naturally Aspirated;Petrol;5-Speed Manual
Toyota;Celica;A60 GT-S Liftback;1982;1985;3-door;RWD;Hatchback;2.40L;Naturally Aspirated;Petrol;5-Speed Manual
Ferrari;208;GTS Turbo;1983;1985;2-door;RWD;TargaTop;2.0L;Turbocharged;Petrol;5-Speed Manual
Audi;Sport Quattro;;1984;1985;2-door;Quattro;Coupe;2.1L;Turbocharged;Petrol;5-Speed Manual
Alfa Romeo;GTV;2;1980;1986;2-door;RWD;Coupe;2.0L;Naturally Aspirated;Petrol;5-Speed Manual
Aston Martin;V8;Saloon (Series 4 Oscar India);1980;1986;2-door;RWD;Coupe;5.3L V8;Naturally Aspirated;Petrol;5-Speed Manual/3-Speed Auto
Aston Martin;V8;Volante (Series 1);1980;1986;2-door;RWD;Convertible;5.3L V8;Naturally Aspirated;Petrol;5-Speed Manual/3-Speed Auto
Aston Martin;V8;Vantage (Series 2);1980;1986;2-door;RWD;Coupe;5.3L V8;Naturally Aspirated;Petrol;5-Speed Manual
Audi;80;B2 (Typ 81);1980;1986;2-door/4-door;FWD;Sedan;1.6L/1.8L;Naturally Aspirated;Petrol;4/5-Speed Manual/3-Speed Auto
BMW;7 Series;E23 728i/735i;1980;1986;4-door;RWD;Sedan;2.8L/3.4L Inline 6 Cyl;Naturally Aspirated;Petrol;5-Speed Manual/4-Speed Auto
BMW;7 Series;E23 745i;1980;1986;4-door;RWD;Sedan;3.2L/3.4L Inline 6 Cyl;Turbocharged;Petrol;3/4-Speed Automatic
Citroën;GSA;Pallas/X3;1980;1986;5-door;FWD;Hatchback/Estate;1.3L;Naturally Aspirated;Petrol;4/5-Speed Manual/3-Speed Auto
Datsun;720;;1980;1986;2-door;RWD/4WD;Pickup;2.0L/2.2L/2.4L/2.2L/2.3L/2.5L;Naturally Aspirated;Petrol/Diesel;4/5-Speed Manual/3-Speed Automatic
Datsun;Urvan;E23;1980;1986;3-door/4-door;RWD;Van;1.6L/2.0L/2.2L;Naturally Aspirated;Petrol/Diesel;4/5-Speed Manual/3-Speed Automatic
Ford;Bronco;XLT;1980;1986;2-door;4WD;SUV;4.9L/5.0L/5.8L;Naturally Aspirated;Petrol;4-Speed Manual/3-Speed Automatic
Honda;Ballade;;1980;1986;4-door;FWD;Sedan;1.3L/1.5L;Naturally Aspirated;Petrol;5-Speed Manual/3-Speed Hondamatic
Jeep;CJ-7;Laredo;1980;1986;2-door;4WD;SUV;2.5L/4.2L/5.0L;Naturally Aspirated;Petrol;4/5-Speed Manual/3-Speed Automatic
Mitsubishi;Debonair;;1980;1986;4-door;RWD;Sedan;2.6L;Naturally Aspirated;Petrol;3-Speed Automatic
Mitsubishi;L200/Triton;1st Gen;1980;1986;2-door/4-door;RWD/4WD;Pickup;2.0L/2.6L/2.3L/2.5L;Naturally Aspirated/Turbocharged;Petrol/Diesel;4/5-Speed Manual
Opel;Monza A;;1980;1986;3-door;RWD;Coupe;2.0L/2.5L/3.0L;Naturally Aspirated;Petrol;4/5-Speed Manual/3-Speed Automatic
Opel;Manta E;;1980;1986;2-door/4-door/5-door;RWD;Sedan/Wagon;1.8L/2.0L/2.2L;Naturally Aspirated;Petrol/Diesel;4/5-Speed Manual/3-Speed Automatic
Porsche;928;S;1980;1986;2-door;RWD;Coupe;4.7L/5.0L;Naturally Aspirated;Petrol;5-Speed Manual/3/4-Speed Automatic
Renault;5;Turbo;1980;1986;3-door;RWD;Hatchback;1.4L;Turbocharged;Petrol;5-Speed Manual
Rolls-Royce;Camargue;;1980;1986;2-door;RWD;Coupe;6.8L;Naturally Aspirated;Petrol;3-Speed Automatic
Rolls-Royce;Corniche;I;1980;1986;2-door;RWD;Convertible/Coupe;6.8L;Naturally Aspirated;Petrol;3-Speed Automatic
SEAT;Panda;;1980;1986;3-door;FWD;Hatchback;843cc/903cc;Naturally Aspirated;Petrol;4-Speed Manual
Honda;City;AA;1981;1986;3-door;FWD;Hatchback;1.2L;Naturally Aspirated/Turbocharged;Petrol;4/5-Speed Manual/3-Speed Hondamatic
Jeep;CJ-8;Scrambler;1981;1986;2-door;4WD;Pickup;2.5L/4.2L;Naturally Aspirated;Petrol;4/5-Speed Manual
Mazda;929;HB 2.0i;1981;1986;2-door/4-door;RWD;Coupe/Sedan;2.0L;Naturally Aspirated;Petrol;5-Speed Manual/4-Speed Automatic
SEAT;Fura;;1981;1986;3-door/5-door;FWD;Hatchback;903cc;Naturally Aspirated;Petrol;4/5-Speed Manual
Ford;Escort;Mk III XR3i;1982;1986;3-door;FWD;Hatchback;1.6L;Naturally Aspirated;Petrol;5-Speed Manual
Nissan;Pulsar;N12;1982;1986;3-door/5-door;FWD;Hatchback/Sedan;1.3L/1.5L/1.6L;Naturally Aspirated/Turbocharged;Petrol/Diesel;4/5-Speed Manual/3-Speed Automatic
Nissan;Sentra;B11;1982;1986;2-door/4-door/5-door;FWD;Coupe/Sedan/Wagon;1.5L/1.6L/1.7L;Naturally Aspirated;Petrol/Diesel;4/5-Speed Manual/3-Speed Automatic
SEAT;Ronda;;1982;1986;5-door;FWD;Hatchback;1.2L/1.5L/1.6L/1.7L;Naturally Aspirated;Petrol/Diesel;4/5-Speed Manual
Toyota;Camry;V10 Liftback;1982;1986;5-door;FWD;Hatchback;1.80L;Naturally Aspirated;Petrol;5-Speed Manual
Toyota;Supra;A60 P-Type Liftback;1982;1986;3-door;RWD;Hatchback;2.80L;Naturally Aspirated;Petrol;5-Speed Manual
Chrysler;Executive;;1983;1986;4-door;FWD;Sedan/Limousine;2.6L Inline 4 Cyl/2.2L Turbo;Naturally Aspirated/Turbocharged;Petrol;3-Speed Automatic
Audi;90;B2 (Typ 85);1984;1986;4-door;FWD/Quattro;Sedan;2.0L/2.2L;Naturally Aspirated;Petrol;5-Speed Manual/3-Speed Auto
Chrysler;Laser;;1984;1986;3-door;FWD;Hatchback;2.2L Inline 4 Cyl;Naturally Aspirated/Turbocharged;Petrol;5-Speed Manual/3-Speed Auto
Dodge;Conquest;;1984;1986;2-door;RWD;Coupe;2.6L;Turbocharged;Petrol;5-Speed Manual/4-Speed Automatic
Dodge;Omni;GLH;1984;1986;5-door;FWD;Hatchback;2.2L;Naturally Aspirated/Turbocharged;Petrol;5-Speed Manual
Ford;Capri;Mk III 1.6 Laser;1984;1986;2-door;RWD;Coupe;1.6L;Naturally Aspirated;Petrol;4/5-Speed Manual
Ford;Capri;Mk III 2.8i Special;1984;1986;2-door;RWD;Coupe;2.8L;Naturally Aspirated;Petrol;5-Speed Manual
Toyota;Camry;V10 Sedan Diesel;1984;1986;4-door;FWD;Sedan;1.80L;Turbocharged;Diesel;4-Speed Automatic
Alfa Romeo;GTV6;2.5;1980;1987;2-door;RWD;Coupe;2.5L V6;Naturally Aspirated;Petrol;5-Speed Manual
Bentley;Mulsanne;;1980;1987;4-door;RWD;Sedan;6.75L V8;Naturally Aspirated;Petrol;3-Speed Automatic
BMW;6 Series;E24 628CSi;1980;1987;2-door;RWD;Coupe;2.8L Inline 6 Cyl;Naturally Aspirated;Petrol;5-Speed Manual/4-Speed Auto
Chevrolet;Chevette;;1980;1987;2-door/4-door;RWD;Hatchback/Sedan;1.4L/1.6L/1.8L Diesel;Naturally Aspirated;Petrol/Diesel;4/5-Speed Manual/3-Speed Auto
Chevrolet;C/K Pickup;(Gen 3);1980;1987;2-door;RWD/4WD;Pickup;4.1L Inline 6 Cyl/5.0L V8/5.7L V8;Naturally Aspirated;Petrol/Diesel;3/4-Speed Manual/3/4-Speed Auto
Jaguar;XJ;Series III 4.2;1980;1987;4-door;RWD;Sedan;4.2L;Naturally Aspirated;Petrol;3-Speed Automatic
Mitsubishi;Lancer;A170;1980;1987;4-door;RWD;Sedan;1.4L/1.6L/1.8L/2.0L;Naturally Aspirated/Turbocharged;Petrol;4/5-Speed Manual
Opel;Manta A;;1980;1987;4-door;RWD;Sedan;2.5L/3.0L;Naturally Aspirated;Petrol;4/5-Speed Manual/3-Speed Automatic
Subaru;BRAT;;1980;1987;2-door;4WD;CoupeUtility;1.6L/1.8L;Naturally Aspirated/Turbocharged;Petrol;4-Speed Manual/3-Speed Automatic
Daihatsu;Charmant;;1981;1987;4-door;RWD;Sedan;1.3L/1.6L;Naturally Aspirated;Petrol;4/5-Speed Manual/3-Speed Automatic
Dodge;Charger;(L-Body);1982;1987;3-door;FWD;Hatchback;1.6L/2.2L;Naturally Aspirated/Turbocharged;Petrol;4/5-Speed Manual
Honda;Prelude;2nd Gen;1982;1987;2-door;FWD;Coupe;1.8L/2.0L;Naturally Aspirated;Petrol;5-Speed Manual/4-Speed Automatic
